weekid,pop,spotify_track_duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_1.0,key_10.0,key_11.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,mode_True
1964-11-28,0.013888888888888888,-2.213319910759525,-2.1013418352620366,0.3222352141417578,0.7854116275527341,-1.0254509859541068,1.8317858604262909,-0.38018320579955944,5.107734312415497,0.95527799018752,2.0836799659917786,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
1964-12-05,0.013888888888888888,-2.213319910759525,-2.1013418352620366,0.3222352141417578,0.7854116275527341,-1.0254509859541068,1.8317858604262909,-0.38018320579955944,5.107734312415497,0.95527799018752,2.0836799659917786,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
1964-12-12,0.013513513513513514,-2.213319910759525,-2.1013418352620366,0.3222352141417578,0.7854116275527341,-1.0254509859541068,1.8317858604262909,-0.38018320579955944,5.107734312415497,0.95527799018752,2.0836799659917786,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
1964-12-19,0.014705882352941176,-2.213319910759525,-2.1013418352620366,0.3222352141417578,0.7854116275527341,-1.0254509859541068,1.8317858604262909,-0.38018320579955944,5.107734312415497,0.95527799018752,2.0836799659917786,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
1964-12-26,0.014084507042253521,-2.213319910759525,-2.1013418352620366,0.3222352141417578,0.7854116275527341,-1.0254509859541068,1.8317858604262909,-0.38018320579955944,5.107734312415497,0.95527799018752,2.0836799659917786,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
1965-01-02,0.013333333333333334,-2.213319910759525,-2.1013418352620366,0.3222352141417578,0.7854116275527341,-1.0254509859541068,1.8317858604262909,-0.38018320579955944,5.107734312415497,0.95527799018752,2.0836799659917786,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
1965-01-09,0.014084507042253521,-2.213319910759525,-2.1013418352620366,0.3222352141417578,0.7854116275527341,-1.0254509859541068,1.8317858604262909,-0.38018320579955944,5.107734312415497,0.95527799018752,2.0836799659917786,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
1965-01-16,0.013333333333333334,-2.213319910759525,-2.1013418352620366,0.3222352141417578,0.7854116275527341,-1.0254509859541068,1.8317858604262909,-0.38018320579955944,5.107734312415497,0.95527799018752,2.0836799659917786,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
1965-01-23,0.013513513513513514,-2.213319910759525,-2.1013418352620366,0.3222352141417578,0.7854116275527341,-1.0254509859541068,1.8317858604262909,-0.38018320579955944,5.107734312415497,0.95527799018752,2.0836799659917786,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,-0.31730612097063043,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
1965-07-10,0.0136986301369863,-1.576067320278836,-1.3449577278728992,-1.8171294074429136,-1.2715303253900163,-1.2323856268467763,-0.44047124026354434,-0.3803031133033815,-1.0999579335141507,-1.525551803250372,0.3601515868654553,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,9.160768710823485,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
1965-07-17,0.013333333333333334,-1.576067320278836,-1.3449577278728992,-1.8171294074429136,-1.2715303253900163,-1.2323856268467763,-0.44047124026354434,-0.3803031133033815,-1.0999579335141507,-1.525551803250372,0.3601515868654553,0.2483131620902163,-0.6698504174168428,-0.4866039859697646,-0.6429765462763702,-0.5668764294052044,9.160768710823485,-0.4548345856633697,-0.6851805128280566,-0.6095490527360309,-0.7074845478837362,-0.4952867384912797,-0.5320997194285073,1.3915597011457606
