weekid,adultstandards,albumrock,brillbuildingpop,bubblegumpop,classicrock,contemporarycountry,country,countryroad,dancepop,disco,folkrock,funk,hiphop,hippop,mellowgold,motown,newwavepop,pop,poprap,poprock,post,quietstorm,rap,rock,softrock,soul,urbancontemporary
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.21951219512195122,0.2073170731707317,0.18292682926829268,0.5,0.0,0.0,0.0,0.08536585365853659,0.07317073170731707,0.0,0.0,0.0,0.6219512195121951,0.2804878048780488,0.06097560975609756,0.2926829268292683,0.0,0.12195121951219512,0.0,0.0,0.0,0.0975609756097561
2015-01-10,0.0,0.0,0.0,0.0,0.0,0.21951219512195122,0.2073170731707317,0.1951219512195122,0.5,0.0,0.0,0.0,0.07317073170731707,0.0975609756097561,0.0,0.0,0.0,0.6341463414634146,0.3048780487804878,0.06097560975609756,0.32926829268292684,0.0,0.13414634146341464,0.0,0.0,0.0,0.07317073170731707
2015-01-17,0.0,0.0,0.0,0.0,0.0,0.2261904761904762,0.21428571428571427,0.20238095238095238,0.4642857142857143,0.0,0.0,0.0,0.07142857142857142,0.10714285714285714,0.0,0.0,0.0,0.6309523809523809,0.27380952380952384,0.05952380952380952,0.32142857142857145,0.0,0.13095238095238096,0.0,0.0,0.0,0.07142857142857142
2015-01-24,0.0,0.0,0.0,0.0,0.0,0.2823529411764706,0.24705882352941178,0.24705882352941178,0.4117647058823529,0.0,0.0,0.0,0.08235294117647059,0.08235294117647059,0.0,0.0,0.0,0.5764705882352941,0.23529411764705882,0.047058823529411764,0.23529411764705882,0.0,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705
2015-01-31,0.0,0.0,0.0,0.0,0.0,0.2441860465116279,0.20930232558139536,0.20930232558139536,0.45348837209302323,0.0,0.0,0.0,0.09302325581395349,0.09302325581395349,0.0,0.0,0.0,0.6162790697674418,0.27906976744186046,0.046511627906976744,0.23255813953488372,0.0,0.1511627906976744,0.0,0.0,0.0,0.06976744186046512
2015-02-07,0.0,0.0,0.0,0.0,0.0,0.26744186046511625,0.23255813953488372,0.23255813953488372,0.4186046511627907,0.0,0.0,0.0,0.09302325581395349,0.08139534883720931,0.0,0.0,0.0,0.6046511627906976,0.2558139534883721,0.06976744186046512,0.23255813953488372,0.0,0.13953488372093023,0.0,0.0,0.0,0.046511627906976744
2015-02-14,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.22988505747126436,0.22988505747126436,0.40229885057471265,0.0,0.0,0.0,0.08045977011494253,0.08045977011494253,0.0,0.0,0.0,0.5862068965517241,0.25287356321839083,0.06896551724137931,0.2413793103448276,0.0,0.16091954022988506,0.0,0.0,0.0,0.04597701149425287
2015-02-21,0.0,0.0,0.0,0.0,0.0,0.24705882352941178,0.21176470588235294,0.21176470588235294,0.4117647058823529,0.0,0.0,0.0,0.09411764705882353,0.08235294117647059,0.0,0.0,0.0,0.611764705882353,0.25882352941176473,0.07058823529411765,0.25882352941176473,0.0,0.18823529411764706,0.0,0.0,0.0,0.047058823529411764
2015-02-28,0.0,0.0,0.0,0.0,0.0,0.24691358024691357,0.2222222222222222,0.2222222222222222,0.3950617283950617,0.0,0.0,0.0,0.08641975308641975,0.07407407407407407,0.0,0.0,0.0,0.6172839506172839,0.2345679012345679,0.07407407407407407,0.25925925925925924,0.0,0.18518518518518517,0.0,0.0,0.0,0.04938271604938271
2015-03-07,0.0,0.0,0.0,0.0,0.0,0.22093023255813954,0.19767441860465115,0.20930232558139536,0.36046511627906974,0.0,0.0,0.0,0.13953488372093023,0.06976744186046512,0.0,0.0,0.0,0.5697674418604651,0.27906976744186046,0.06976744186046512,0.2441860465116279,0.0,0.23255813953488372,0.0,0.0,0.0,0.046511627906976744
2015-03-14,0.0,0.0,0.0,0.0,0.0,0.21686746987951808,0.20481927710843373,0.20481927710843373,0.37349397590361444,0.0,0.0,0.0,0.14457831325301204,0.07228915662650602,0.0,0.0,0.0,0.5662650602409639,0.2891566265060241,0.07228915662650602,0.24096385542168675,0.0,0.24096385542168675,0.0,0.0,0.0,0.060240963855421686
2015-03-21,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.21428571428571427,0.2261904761904762,0.38095238095238093,0.0,0.0,0.0,0.11904761904761904,0.07142857142857142,0.0,0.0,0.0,0.5595238095238095,0.2619047619047619,0.07142857142857142,0.25,0.0,0.20238095238095238,0.0,0.0,0.0,0.07142857142857142
2015-03-28,0.0,0.0,0.0,0.0,0.0,0.22093023255813954,0.19767441860465115,0.20930232558139536,0.38372093023255816,0.0,0.0,0.0,0.10465116279069768,0.08139534883720931,0.0,0.0,0.0,0.5581395348837209,0.2441860465116279,0.08139534883720931,0.26744186046511625,0.0,0.19767441860465115,0.0,0.0,0.0,0.09302325581395349
2015-04-04,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.1839080459770115,0.19540229885057472,0.3793103448275862,0.0,0.0,0.0,0.11494252873563218,0.08045977011494253,0.0,0.0,0.0,0.5517241379310345,0.26436781609195403,0.08045977011494253,0.26436781609195403,0.0,0.20689655172413793,0.0,0.0,0.0,0.09195402298850575
2015-04-11,0.0,0.0,0.0,0.0,0.0,0.21686746987951808,0.1927710843373494,0.20481927710843373,0.37349397590361444,0.0,0.0,0.0,0.12048192771084337,0.0963855421686747,0.0,0.0,0.0,0.5542168674698795,0.26506024096385544,0.07228915662650602,0.27710843373493976,0.0,0.21686746987951808,0.0,0.0,0.0,0.08433734939759036
